Country,Topic,Month,MedianSentiment,IndicatorValue
DE,Inflation,2021-06,-1.001932490462033,126.89999999999999
DE,Inflation,2021-07,-1.5204350687726986,127.66666666666667
DE,Inflation,2021-08,-2.36493134515962,127.76666666666667
DE,Inflation,2021-09,-1.9372872266479797,128.06666666666666
DE,Inflation,2021-10,-1.243654673650141,128.83333333333334
DE,Inflation,2021-11,-2.079426063134737,129.1
DE,Inflation,2021-12,-0.7386875259857867,129.5
DE,Inflation,2022-01,-0.031104025796581766,130.63333333333333
DE,Inflation,2022-02,-2.305072226398536,131.8
DE,Inflation,2022-03,-2.7171001432349255,135.06666666666666
DE,Inflation,2022-04,-1.9339328380327592,136.03333333333333
DE,Inflation,2022-05,-1.5529932168642617,137.5
DE,Inflation,2022-06,-1.744919595769912,137.4333333333333
DE,Inflation,2022-07,-2.0700181111592544,138.43333333333334
DE,Inflation,2022-08,-1.3267669379366753,139.03333333333333
DE,Inflation,2022-09,-1.6593442760872128,142.1
DE,Inflation,2022-10,-1.8556200535822345,143.73333333333335
DE,Inflation,2022-11,-1.3134458984122819,143.7
DE,Inflation,2022-12,-1.3416502935589938,141.93333333333334
DE,Inflation,2023-01,-1.189085560458461,142.70000000000002
DE,Inflation,2023-02,-2.1585058447901155,144.06666666666666
DE,Inflation,2023-03,-1.3166092921378632,145.5
DE,Inflation,2023-04,-1.2092450735624072,146.36666666666667
DE,Inflation,2023-05,-1.4663415256046028,146.16666666666669
DE,Inflation,2023-06,-1.0725947197147812,146.70000000000002
DE,Inflation,2023-07,-0.8441400685137065,147.43333333333334
DE,Inflation,2023-08,-1.5389838626777534,147.96666666666667
DE,Inflation,2023-09,-1.5006894834266813,148.2
DE,Inflation,2023-10,-1.8060877478899138,147.96666666666667
DE,Inflation,2023-11,0.8018629622039308,146.96666666666667
DE,Inflation,2023-12,-0.21602583530247824,147.26666666666665
FR,Employment,2021-01,-2.371177622300454,8.200000000000001
FR,Employment,2021-02,-1.6779725795511269,8.266666666666666
FR,Employment,2021-03,-4.682639536046082,8.166666666666666
FR,Employment,2021-04,-1.2125193866475052,8.1
FR,Employment,2021-05,-1.759723581213305,7.866666666666667
