Country,Topic,Month,MonthlyVolume,MonthlySentiment
FR,Inflation,2023-05,10,-3.313090825624996
FR,Inflation,2023-06,11,0.25889005359182743
FR,Inflation,2023-07,8,-0.8449474767665351
FR,Inflation,2023-08,11,-1.3285121150034556
FR,Inflation,2023-09,4,-0.8195797398192378
FR,Inflation,2023-10,12,-2.3475471223870756
FR,Inflation,2023-11,4,-0.5657320356386374
FR,Inflation,2023-12,5,-0.8952185142241319
NL,Employment,2021-03,1,-4.09157330735509
NL,Employment,2021-05,1,-4.3557168784029
NL,Employment,2021-06,2,-1.0296065175940354
NL,Employment,2021-08,1,-3.32936979785969
NL,Employment,2021-09,2,-1.750979381074135
NL,Employment,2021-11,1,-3.83241312114323
NL,Employment,2021-12,1,1.87657885239986
NL,Employment,2022-02,1,-5.59006211180124
NL,Employment,2022-03,1,-0.776531492666092
NL,Employment,2022-05,1,0.283553875236295
NL,Employment,2022-07,1,-11.0655737704918
NL,Employment,2022-08,1,-8.56820744081173
NL,Employment,2022-10,2,-2.98592260589609
NL,Employment,2022-11,1,-2.11726384364821
NL,Employment,2023-05,2,-3.17831215970962
NL,Employment,2023-06,2,-6.08894967528207
NL,Employment,2023-07,3,-2.0279528759166467
NL,Employment,2023-09,1,2.30572160546541
NL,Employment,2023-10,1,-0.12987012987013
NL,Housing,2021-01,1,-0.87719298245614
NL,Housing,2021-02,1,-2.51937984496124
NL,Housing,2021-05,4,0.18921006398781526
NL,Housing,2021-06,1,0.87719298245614
NL,Housing,2021-07,1,-9.96168582375479
NL,Housing,2021-10,2,1.3606444640927384
NL,Housing,2021-12,2,4.173669467787115
NL,Housing,2022-01,1,2.37580993520518
NL,Housing,2022-03,1,-4.30769230769231
NL,Housing,2022-05,1,-0.380710659898477
NL,Housing,2022-06,2,-2.01996449372411
NL,Housing,2022-07,4,-1.76673235340095
NL,Housing,2022-08,3,-1.255733979113
NL,Housing,2022-09,1,-2.27272727272727
NL,Housing,2022-10,1,1.84388444990781
NL,Housing,2022-11,2,0.34762391019137007
NL,Housing,2023-02,1,-0.063231109705975
NL,Housing,2023-03,1,-1.40845070422535
NL,Housing,2023-06,3,-0.8146575690828035
NL,Housing,2023-07,1,-7.47252747252747
NL,Housing,2023-08,1,-1.05633802816901
NL,Housing,2023-10,1,3.80499405469679
NL,Inflation,2021-02,2,-0.3724807802959065
NL,Inflation,2021-03,1,0.68762278978389
NL,Inflation,2021-05,1,-1.51057401812689
NL,Inflation,2021-06,1,-0.945945945945946
NL,Inflation,2021-07,2,-0.5394364314994189
NL,Inflation,2021-08,2,-3.995548725557735
NL,Inflation,2021-09,1,-1.01522842639594
NL,Inflation,2021-10,3,-2.8797271768549764
NL,Inflation,2021-11,5,-2.5282153667443756
NL,Inflation,2021-12,4,-2.8020708270822774
NL,Inflation,2022-01,3,-1.1983190325559747
NL,Inflation,2022-02,4,-1.6025126543086299
NL,Inflation,2022-03,2,-1.497903742739405
NL,Inflation,2022-04,3,-2.1223788950257507
NL,Inflation,2022-05,4,-2.555077533198069
NL,Inflation,2022-06,6,-2.770780127050445
NL,Inflation,2022-07,6,-2.8650809139183924
NL,Inflation,2022-08,2,-1.140065146579805
NL,Inflation,2022-09,7,-1.258029560857595
NL,Inflation,2022-10,3,-1.11947788298129
NL,Inflation,2022-11,2,-1.791301918420562
NL,Inflation,2022-12,1,-6.40599001663894
NL,Inflation,2023-01,1,0.390625
NL,Inflation,2023-02,1,-3.86643233743409
NL,Inflation,2023-03,6,-1.7641856521330832
NL,Inflation,2023-05,5,2.0742095276565857
NL,Inflation,2023-06,5,-0.718214210512601
NL,Inflation,2023-07,2,-2.64314950026189
NL,Inflation,2023-08,3,-2.8133463035434505
NL,Inflation,2023-09,2,0.8590367965367944
NL,Inflation,2023-10,4,-1.86682634398858
NL,Inflation,2023-11,5,0.45345904496365
NL,Inflation,2023-12,5,-0.200931623770947
