Month,Country,Unemployment_Rate
2024-11,DE,3.3666666666666667
2024-11,FR,7.333333333333333
2024-11,NL,3.6333333333333333
2024-12,DE,3.4
2024-12,FR,7.233333333333333
2024-12,NL,3.6333333333333333
2025-01,DE,3.5666666666666664
2025-01,FR,7.366666666666667
2025-01,NL,3.8666666666666667
2025-02,DE,3.6333333333333333
2025-02,FR,7.5
2025-02,NL,3.9
2025-03,DE,3.6333333333333333
2025-03,FR,7.533333333333334
2025-03,NL,3.9
2025-04,DE,3.733333333333333
2025-04,FR,7.433333333333334
2025-04,NL,3.766666666666667
2025-05,DE,3.733333333333333
2025-05,FR,7.5
2025-05,NL,3.733333333333333
2025-06,DE,3.6666666666666665
2025-06,FR,7.5
2025-06,NL,3.7999999999999994
2025-07,DE,3.8333333333333335
2025-07,FR,7.633333333333333
2025-07,NL,3.766666666666667
2025-08,DE,3.8333333333333335
2025-08,FR,7.866666666666667
2025-08,NL,3.9333333333333336
2025-09,DE,3.9333333333333336
2025-09,FR,7.833333333333333
2025-09,NL,4.066666666666666
2025-10,DE,3.8000000000000003
2025-10,FR,8.0
2025-10,NL,4.0
2025-11,DE,3.8666666666666667
2025-11,FR,7.966666666666666
2025-11,NL,3.9333333333333336
2025-12,DE,3.9
2025-12,FR,7.866666666666667
2025-12,NL,3.9333333333333336
