Month,Country,Topic,AverageSentiment,ArticleVolume
2022-03,UK,Employment,-2.2336583552272735,5
2022-03,UK,Housing,0.4868284762464651,2
2022-03,UK,Inflation,-1.5505538262774343,19
2022-04,DE,Employment,-2.687390679556007,3
2022-04,DE,Housing,-0.7519706164647576,2
2022-04,DE,Inflation,-1.9339328380327592,18
2022-04,FR,Employment,-2.787103876936671,3
2022-04,FR,Housing,0.376428896445604,3
2022-04,FR,Inflation,-1.3156347100107262,12
2022-04,NL,Inflation,-2.1223788950257507,3
2022-04,UK,Employment,-4.19325432999088,1
2022-04,UK,Housing,-0.7931500878606068,7
2022-04,UK,Inflation,-2.4296041292896122,23
2022-05,DE,Employment,-2.516721408002355,2
2022-05,DE,Housing,1.5352516217425782,4
2022-05,DE,Inflation,-1.5529932168642617,18
2022-05,FR,Housing,-0.306748466257669,1
2022-05,FR,Inflation,-5.42849631966351,2
2022-05,NL,Employment,0.283553875236295,1
2022-05,NL,Housing,-0.380710659898477,1
2022-05,NL,Inflation,-2.555077533198069,4
2022-05,UK,Housing,2.7679849281694016,3
2022-05,UK,Inflation,-1.1564193570175094,11
2022-06,DE,Employment,-1.8482547485459797,4
2022-06,DE,Housing,-0.002246652705616224,14
2022-06,DE,Inflation,-1.744919595769912,24
2022-06,FR,Employment,-2.72904483430799,2
2022-06,FR,Housing,1.58730158730159,1
2022-06,FR,Inflation,-2.2040825456699205,14
2022-06,NL,Housing,-2.01996449372411,2
2022-06,NL,Inflation,-2.770780127050445,6
2022-06,UK,Employment,2.25273732001494,5
2022-06,UK,Housing,0.25229050477300974,4
2022-06,UK,Inflation,-1.9219909690041592,40
2022-07,DE,Employment,-2.68707482993197,1
2022-07,DE,Housing,-0.364633572368337,6
2022-07,DE,Inflation,-2.0700181111592544,40
2022-07,FR,Employment,-3.4328234674420064,3
2022-07,FR,Housing,-2.0214995861427196,7
2022-07,FR,Inflation,-1.892135246576792,15
2022-07,NL,Employment,-11.0655737704918,1
2022-07,NL,Housing,-1.76673235340095,4
2022-07,NL,Inflation,-2.8650809139183924,6
2022-07,UK,Employment,-3.286074570980117,3
2022-07,UK,Housing,-0.4789655523964765,3
2022-07,UK,Inflation,-1.7479346167606657,33
2022-08,DE,Employment,-2.44158646523135,3
2022-08,DE,Housing,1.8394885164627242,4
2022-08,DE,Inflation,-1.3267669379366753,22
2022-08,FR,Employment,-0.0563063063063063,1
2022-08,FR,Housing,3.026009126249496,2
2022-08,FR,Inflation,-2.1577094847550717,9
2022-08,NL,Employment,-8.56820744081173,1
2022-08,NL,Housing,-1.255733979113,3
2022-08,NL,Inflation,-1.140065146579805,2
2022-08,UK,Employment,-1.1555973931031442,3
2022-08,UK,Housing,0.22582243576017477,6
2022-08,UK,Inflation,-1.7480866153314192,33
2022-09,DE,Employment,-1.342228577008987,4
2022-09,DE,Housing,-1.85873605947955,1
2022-09,DE,Inflation,-1.6593442760872128,25
2022-09,FR,Employment,-2.7777091346370835,3
2022-09,FR,Housing,-3.14678146781468,2
2022-09,FR,Inflation,-1.990293950345426,9
2022-09,NL,Housing,-2.27272727272727,1
2022-09,NL,Inflation,-1.258029560857595,7
2022-09,UK,Employment,-3.034416475860045,8
2022-09,UK,Housing,3.1823419990018627,4
2022-09,UK,Inflation,-2.141181253055657,33
2022-10,DE,Employment,1.5911193339500453,3
2022-10,DE,Housing,-2.98634812286689,1
2022-10,DE,Inflation,-1.8556200535822345,13
2022-10,FR,Housing,0.5892839984672568,3
2022-10,FR,Inflation,-2.1548156107183947,12
2022-10,NL,Employment,-2.98592260589609,2
2022-10,NL,Housing,1.84388444990781,1
2022-10,NL,Inflation,-1.11947788298129,3
2022-10,UK,Employment,0.860196556781139,3
2022-10,UK,Housing,-1.60511434384531,4
2022-10,UK,Inflation,-2.9114152863234315,42
2022-11,DE,Employment,-0.24578273566320002,2
2022-11,DE,Housing,0.3215343777545497,8
2022-11,DE,Inflation,-1.3134458984122819,18
2022-11,FR,Employment,-0.307692307692308,1
2022-11,FR,Housing,0.050337385481073284,3
2022-11,FR,Inflation,-2.1580661962803416,13
2022-11,NL,Employment,-2.11726384364821,1
2022-11,NL,Housing,0.34762391019137007,2
2022-11,NL,Inflation,-1.791301918420562,2
2022-11,UK,Employment,-1.228982514938604,5
2022-11,UK,Housing,4.7438330170778,1
2022-11,UK,Inflation,-3.42316351115016,31
2022-12,DE,Employment,-4.45576066199873,1
2022-12,DE,Housing,0.9576984786911349,2
2022-12,DE,Inflation,-1.3416502935589938,11
2022-12,FR,Housing,-2.04081632653061,1
2022-12,FR,Inflation,-1.694898255708749,4
2022-12,NL,Inflation,-6.40599001663894,1
2022-12,UK,Housing,1.0095357238767275,5
2022-12,UK,Inflation,-1.9340537757639251,15
2023-01,DE,Employment,-1.581751581751585,2
2023-01,DE,Housing,-2.2494421016647164,7
2023-01,DE,Inflation,-1.189085560458461,18
2023-01,FR,Employment,-2.3725169451035297,2
2023-01,FR,Housing,-1.0093480061531206,2
2023-01,FR,Inflation,0.4140739792445893,7
2023-01,NL,Inflation,0.390625,1
2023-01,UK,Employment,-1.397885963914226,3
2023-01,UK,Inflation,-1.739493365091863,22
2023-02,DE,Employment,-0.335570469798658,1
2023-02,DE,Housing,-3.595475706596195,2
2023-02,DE,Inflation,-2.1585058447901155,24
2023-02,FR,Employment,-4.7509428032683845,2
2023-02,FR,Housing,-2.12201591511936,1
2023-02,FR,Inflation,-0.2679599156354531,8
2023-02,NL,Housing,-0.063231109705975,1
